CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
RECOVERED O/S STOLEN,05/08/2024 07:53:00 AM,24-022662,VEHICLE THEFT - AUTO,05X,1601 MYRTLE ST,Oakland,CA,POINT (-122.281514007 37.810382004)
PROSTITUTION,03/28/2024 06:35:00 PM,24-015642,DISORDERLY CONDUCT:PROSTITUTION,19X,1800 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.241686975 37.787226996)
,05/11/2024 08:53:00 AM,24-023202,TRESPASS:OCCUPY PROPERTY W/O CONSENT,27Y,5542 HARVEY AV,Oakland,CA,POINT (-122.19636703 37.770932996)
MISDEMEANOR ASSAULT,04/09/2024 07:57:00 AM,24-017341,BATTERY,01X,400 FRANKLIN ST,Oakland,CA,POINT (-122.273740965 37.797032021)
STOLEN VEHICLE,05/29/2024 12:00:00 AM,24-026671,VEHICLE THEFT - AUTO,24X,2116 42ND AV,Oakland,CA,POINT (-122.210004973 37.777672004)
,05/24/2024 05:08:00 AM,24-025558,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,2339 64RD AV,Oakland,CA,POINT (-122.189309971 37.767499014)
NARCOTICS,04/02/2024 08:08:00 AM,24-016285,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,20X,2800 E 17TH ST,Oakland,CA,POINT (-122.227105573 37.782090979)
,05/02/2024 02:05:00 AM,24-021512,BATTERY,21X,2798 FOOTHILL BLVD,Oakland,CA,POINT (-122.225477967 37.784575004)
,04/23/2024 11:39:00 PM,24-019896,BATTERY,32X,1156 98TH AV,Oakland,CA,POINT (-122.174639235 37.742342897)
,05/16/2024 06:00:00 AM,24-907779,BURGLARY-AUTO,12Y,5414 COLLEGE AVE,Oakland,CA,POINT (-122.251285012 37.840531277)
,05/02/2024 09:15:00 AM,24-021628,VEHICLE THEFT - AUTO,27X,45TH AV & BANCROFT AV,Oakland,CA,POINT (-122.212000034 37.77265401)
ROBBERY,06/02/2024 01:09:00 AM,24-027227,ROBBERY-FIREARM,21Y,2401 FRUITVALE AV,Oakland,CA,POINT (-122.221667972 37.787217986)
,05/27/2024 09:00:00 PM,24-026216,VEHICLE THEFT - AUTO,05Y,1600 BLOCK PINE ST,Oakland,CA,POINT (-122.423174521 37.78934368)
,03/17/2024 11:00:00 PM,24-904927,BURGLARY-AUTO,,1301 E 31ST ST ST,Oakland,CA,POINT (-122.227201034 37.777421008)
DOMESTIC VIOLENCE,05/18/2024 12:30:00 AM,24-024499,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32X,9901 WALNUT ST,Oakland,CA,POINT (-122.167783986 37.744214003)
,04/15/2024 09:01:00 PM,24-018934,THEFT,26Y,1260 - 75TH AVE.,Oakland,CA,POINT (-122.186592977 37.75759701)
,04/23/2024 10:00:00 PM,24-908349,GRAND THEFT,20X,2460 E 16TH,Oakland,CA,POINT (-122.23170396 37.783778011)
,05/21/2024 11:08:00 PM,24-025189,VEHICLE THEFT - AUTO,29X,MACARTHUR BLVD&SEMINARY AV,Oakland,CA,POINT (-122.185317 37.775390995)
,04/25/2024 01:50:00 PM,24-907573,BURGLARY-NO FORCE,16Y,1578 E 38TH ST,Oakland,CA,POINT (-122.223791025 37.803440992)
,04/21/2024 04:50:00 AM,24-019580,VEHICLE THEFT - AUTO,02X,1200 MIDDLE HARBOR RD,Oakland,CA,POINT (-122.297700513 37.797805409)
VANDALISM,03/30/2024 07:19:00 AM,24-015847,VANDALISM-$400+,09X,200 41ST ST,Oakland,CA,POINT (-122.253891161 37.827621561)
BURG - AUTO,04/15/2024 10:00:00 AM,24-018454,BURGLARY-AUTO,34X,1945 89TH AV,Oakland,CA,POINT (-122.169048983 37.753333011)
THREATS,04/01/2024 02:30:00 PM,24-016188,VANDALISM,15X,300 E 18TH ST,Oakland,CA,POINT (-122.25147796 37.799779986)
,03/30/2024 02:31:00 AM,24-906599,VANDALISM,35Y,21 MERLIN COURT,Oakland,CA,POINT (-122.122190037 37.756359003)
,04/04/2024 12:18:00 AM,24-016575,VEHICLE THEFT - AUTO,24X,3523 MEADOW ST.,Oakland,CA,POINT (-122.212954984 37.785864015)
,05/14/2024 10:15:00 AM,24-023728,VEHICLE THEFT - AUTO,06X,800 26TH ST,Oakland,CA,POINT (-122.274307917 37.816834569)
,06/10/2024 08:30:00 PM,24-908613,BURGLARY-AUTO,01X,101 WASHINGTON ST,Oakland,CA,POINT (-122.278040901 37.795975684)
,04/19/2024 10:43:00 PM,24-019393,CARRY CONCEALED WEAPON IN VEHICLE,02X,800 12TH ST,Oakland,CA,POINT (-122.252201642 37.792868168)
,04/22/2024 06:15:00 AM,24-019752,VANDALISM (AMENDED),21X,2744 GARDEN ST,Oakland,CA,POINT (-122.222581013 37.792589989)
DOMESTIC VIOLENCE,03/18/2024 01:28:00 PM,24-013662,"SIMPLE POSSESSION OF HEROIN, COCAINE, LISTED CONTROLLED SUBSTANCES",35X,8436 DOWLING ST,Oakland,CA,POINT (-122.167236291 37.758995474)
MISDEMEANOR ASSAULT,04/29/2024 12:30:00 AM,24-020958,BATTERY,06X,3827 WEST ST,Oakland,CA,POINT (-122.271795022 37.828308003)
DOMESTIC VIOLENCE,04/18/2024 05:21:00 PM,24-019190,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,29X,5954 MACARTHUR BLVD,Oakland,CA,POINT (-122.182927989 37.776152993)
STOLEN VEHICLE,03/27/2024 10:00:00 PM,24-015517,VEHICLE THEFT - AUTO,33X,9326 D ST,Oakland,CA,POINT (-122.177721989 37.745048002)
,05/14/2024 03:15:00 PM,24-023996,VEHICLE THEFT - AUTO,03X,8TH ST & FRANKLIN ST,Oakland,CA,POINT (-122.272546963 37.799726006)
ROBBERY,03/19/2024 12:00:00 AM,24-014677,CARJACKING WITH FIREARM,18X,1932 E 17TH ST,Oakland,CA,POINT (-122.237735997 37.78884902)
PETTY THEFT,03/30/2024 08:45:00 PM,24-906762,THEFT,23X,1829 38TH AV,Oakland,CA,POINT (-122.217683009 37.777845786)
,03/18/2024 06:51:00 AM,24-906301,VANDALISM,14Y,466 CRESCENT ST,Oakland,CA,POINT (-122.249727986 37.813351)
STOLEN VEHICLE,03/16/2024 02:00:00 AM,24-013462,VEHICLE THEFT - AUTO,08X,202 FRISBIE ST,Oakland,CA,POINT (-122.257964966 37.818156009)
,04/17/2024 02:43:00 AM,24-018940,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,19X,357 34TH ST,Oakland,CA,POINT (-122.262317111 37.822082954)
,04/21/2024 11:30:00 PM,24-020719,ASSAULT,33X,9004 D ST,Oakland,CA,POINT (-122.179201982 37.747438982)
,04/16/2024 12:30:00 PM,24-019510,BURGLARY-FORCIBLE ENTRY,25X,4520 REINHARDT DR,Oakland,CA,POINT (-122.182591037 37.790444013)
,06/08/2024 03:30:00 PM,24-028843,VEHICLE THEFT - AUTO,27X,1924 50TH AV,Oakland,CA,POINT (-122.205712014 37.773183998)
ROBBERY,06/06/2024 09:48:00 PM,24-028108,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,5725 E 17TH ST,Oakland,CA,POINT (-122.198726033 37.767405011)
,04/10/2024 10:45:00 PM,24-906504,BURGLARY-AUTO,02Y,707 WILLOW ST,Oakland,CA,POINT (-122.301070999 37.806959002)
,04/25/2024 05:00:00 PM,24-908690,BURGLARY-NO FORCE,22X,4039 LINCOLN AVE,Oakland,CA,POINT (-122.209188995 37.804961008)
,05/16/2024 11:15:00 PM,24-907917,VANDALISM,,18TH ST,Oakland,CA,POINT (-122.286796677 37.812910613)
,05/25/2024 02:10:00 PM,24-908377,VANDALISM,10Y,823 43RD ST,Oakland,CA,POINT (-122.271157998 37.832541996)
MISDEMEANOR ASSAULT,03/29/2024 05:00:00 PM,24-015789,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27X,1424 44TH AV,Oakland,CA,POINT (-122.213223959 37.77239899)
,05/08/2024 05:40:00 PM,24-022760,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1955 SAN PABLO AV,Oakland,CA,POINT (-122.273396972 37.809832989)
,05/08/2024 11:00:00 AM,24-907931,GRAND THEFT,35Y,10704 COTTER ST,Oakland,CA,POINT (-122.123651003 37.756276986)
,05/15/2024 06:58:00 AM,24-023899,VEHICLE THEFT - AUTO,32X,1350 106TH AV,Oakland,CA,POINT (-122.166858037 37.738163987)
VANDALISM,03/26/2024 01:15:00 PM,24-906682,VANDALISM,01X,104 OAK ST,Oakland,CA,POINT (-122.268003878 37.792731367)
STOLEN VEHICLE,04/15/2024 12:30:00 PM,24-018510,VEHICLE THEFT - AUTO,08X,50 STANLEY PL,Oakland,CA,POINT (-122.255828626 37.819674876)
,05/25/2024 11:55:00 AM,24-025912,BATTERY,01X,7 EMBARCADERO,Oakland,CA,POINT (-122.269153969 37.790454993)
,03/24/2024 09:00:00 AM,24-906229,VANDALISM,,NA 14TH ST./ ADELINE ST,Oakland,CA,POINT (-122.197172429 37.835341381)
,05/28/2024 09:07:00 AM,24-026266,ROBBERY-OTHER DANGEROUS WEAPON,17Y,3132 BEAUMONT AV,Oakland,CA,POINT (-122.22906299 37.79932598)
,05/31/2024 11:43:00 AM,24-026967,SELL/ETC LIQUOR TO MINOR,20X,3000 9TH ST,Oakland,CA,POINT (-122.231181093 37.774609454)
,03/14/2024 05:15:00 PM,24-905419,BURGLARY-AUTO,,10TH AND WASHINGTON ST,Oakland,CA,POINT (-122.274156037 37.802028012)
DOMESTIC VIOLENCE,04/04/2024 09:58:00 AM,24-016815,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,23X,35TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.222777904 37.77608028)
,06/05/2024 06:04:00 AM,24-027767,VEHICLE THEFT - AUTO,01X,428 ALICE ST,Oakland,CA,POINT (-122.270144961 37.795771005)
HOMICIDE,04/10/2024 01:16:00 AM,24-017591,SC UNEXPLAINED DEATH,20X,324 23RD AV,Oakland,CA,POINT (-122.235541028 37.773093012)
STOLEN VEHICLE,03/23/2024 11:00:00 AM,24-014932,VEHICLE THEFT - AUTO,26X,5051 COLISEUM WY,Oakland,CA,POINT (-122.213906598 37.763623994)
,05/24/2024 01:10:00 AM,24-025541,ROBBERY-FIREARM,33X,9725 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.171138004 37.744370996)
GRAND THEFT,03/21/2024 04:57:00 PM,24-014328,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AV,Oakland,CA,POINT (-122.223908958 37.769720008)
,04/16/2024 01:00:00 PM,24-907635,BATTERY AGAINST POLICE OFFICER,17X,1125 E 18TH ST,Oakland,CA,POINT (-122.245176026 37.793429982)
,06/01/2024 11:00:00 AM,24-908606,GRAND THEFT,09X,95 41ST,Oakland,CA,POINT (-122.251405959 37.825864008)
,03/28/2024 07:16:00 PM,24-905592,ATTEMPT VEHICLE THEFT-AUTO,13X,4623 HARBORD DRIVE,Oakland,CA,POINT (-122.232212993 37.839160011)
,05/02/2024 03:45:00 PM,24-021611,POSS STOLEN VEH/VES/ETC,07X,2324 ADELINE ST,Oakland,CA,POINT (-122.283064994 37.816672999)
,05/11/2024 08:30:00 PM,24-023294,BATTERY,01X,525 EMBARCADERO WEST,Oakland,CA,POINT (-122.280704362 37.796707702)
,04/22/2024 10:50:00 AM,24-019779,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,31Y,715 LOUSIANA AVE,Oakland,CA,POINT (-122.186123003 37.740430998)
,05/19/2024 08:20:00 AM,24-907717,VANDALISM,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198848995 37.733280984)
FELONY ASSAULT,03/21/2024 09:30:00 AM,24-014405,POSS STOLEN VEH/VES/ETC,30X,2738 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.181680008 37.769232014)
ROBBERY,04/10/2024 12:31:00 PM,24-017659,EXHIBIT FIREARM,03X,808 FRANKLIN ST,Oakland,CA,POINT (-122.272209005 37.799788996)
,06/10/2024 04:30:00 AM,24-028629,VANDALISM-$400+,26Y,7101 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.188614021 37.759632011)
,04/22/2024 08:00:00 PM,24-019949,VEHICLE THEFT - AUTO,27Y,2418 AVENAL AVE,Oakland,CA,POINT (-122.192239908 37.770335261)
VANDALISM,05/25/2024 07:00:00 PM,24-026739,VANDALISM [UNDER $400],03X,561 MADISON ST,Oakland,CA,POINT (-122.26753556 37.796089349)
,05/01/2024 12:15:00 PM,24-906973,BURGLARY-AUTO,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198848995 37.733280984)
,04/13/2024 09:00:00 PM,24-018571,THEFT,34X,9618 HOLLY ST,Oakland,CA,POINT (-122.169967975 37.746052992)
,04/17/2024 04:18:00 PM,24-019003,VEHICLE THEFT - AUTO,08X,385 FAIRMOUNT AVE.,Oakland,CA,POINT (-122.257521982 37.818920984)
FELONY ASSAULT,03/17/2024 05:10:00 AM,24-013443,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,26Y,875 75TH AV,Oakland,CA,POINT (-122.193633021 37.753679016)
RECOVERED O/S STOLEN,03/19/2024 06:44:00 PM,24-014009,VEHICLE THEFT - AUTO,07X,850 28TH ST,Oakland,CA,POINT (-122.275412269 37.818519108)
,04/20/2024 05:35:00 AM,24-019438,SC UNEXPLAINED DEATH,24X,2046 34TH AV,Oakland,CA,POINT (-122.219655158 37.783641462)
DOMESTIC VIOLENCE,03/23/2024 08:00:00 AM,24-014578,INFLICT CRPL INJ SP/COHAB,35X,8522 MACARTHUR BLVD,Oakland,CA,POINT (-122.162735985 37.759945997)
STOLEN VEHICLE,03/16/2024 09:48:00 AM,24-013326,POSS STOLEN VEH/VES/ETC,23X,4200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.215050963 37.773355994)
,03/21/2024 10:00:00 AM,24-907551,THEFT BY USE OF ACCESS CARD,,111 EMBARCADERO WEST,Oakland,CA,POINT (-122.271255162 37.792979127)
,05/22/2024 09:34:00 PM,24-025524,SC UNEXPLAINED DEATH,15X,312 WAYNE AVE,Oakland,CA,POINT (-122.252712027 37.802923996)
DOMESTIC VIOLENCE,05/19/2024 08:19:00 AM,24-024689,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,2704 12TH AV,Oakland,CA,POINT (-122.236596267 37.798893654)
,05/03/2024 06:30:00 AM,24-021696,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,09X,250 WHITMORE ST,Oakland,CA,POINT (-122.251000024 37.833366984)
STOLEN VEHICLE,05/11/2024 09:55:00 PM,24-023297,VEHICLE THEFT - AUTO,17Y,2516 12TH AV,Oakland,CA,POINT (-122.237487977 37.797875995)
,03/30/2024 04:15:00 AM,24-906656,VANDALISM,15X,1918 LAKESHORE AVE,Oakland,CA,POINT (-122.253303035 37.80287601)
RECOVERED VEHICLE - OAKLAND STOLEN,05/29/2024 06:48:00 PM,24-026666,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,21Y,2700 SCHOOL ST,Oakland,CA,POINT (-122.217667012 37.795839234)
BURG - COMMERCIAL,04/06/2024 03:53:00 AM,24-016889,BURGLARY-FORCIBLE ENTRY,13Z,6101 LA SALLE AV,Oakland,CA,POINT (-122.21053826 37.826283977)
WEAPONS,05/25/2024 02:12:00 AM,24-025718,CARRY CONCEALED WEAPON ON PERSON,27X,4707 FOOTHILL BLVD,Oakland,CA,POINT (-122.208708041 37.772993016)
ROBBERY,04/14/2024 01:00:00 AM,24-018452,CARJACKING WITH FIREARM,19X,1330 LAKESHORE AV,Oakland,CA,POINT (-122.257865976 37.799024986)
,05/30/2024 09:00:00 PM,24-026959,VEHICLE THEFT - AUTO,25Y,7615 HANSOM DR,Oakland,CA,POINT (-122.143536984 37.779206982)
,04/08/2024 03:02:00 AM,24-906094,BURGLARY-AUTO,35Y,4801 DUNKIRK AVE,Oakland,CA,POINT (-122.124178979 37.753547001)
RECOVERED O/S STOLEN,03/31/2024 04:34:00 PM,24-016039,VEHICLE THEFT - AUTO,34X,92ND AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.173669004 37.748754019)
GRAND THEFT,03/27/2024 06:45:00 PM,24-905357,GRAND THEFT,14X,350 GRAND AV,Oakland,CA,POINT (-122.255644017 37.809234982)
ARSON,03/20/2024 02:20:00 AM,24-014388,MAL SET/ETC FIRE PROP/ETC,30X,6714 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.191301008 37.76152498)
,05/17/2024 09:20:00 PM,24-908000,THEFT,14Y,580 VERNON ST,Oakland,CA,POINT (-122.249734021 37.81831799)
STOLEN VEHICLE,04/14/2024 11:00:00 PM,24-018831,VEHICLE THEFT - AUTO,25X,3864 35TH AV,Oakland,CA,POINT (-122.196869022 37.795686013)
STOLEN VEHICLE,05/16/2024 03:30:00 PM,24-024326,VEHICLE THEFT - AUTO,20X,3010 E 9TH ST,Oakland,CA,POINT (-122.231027325 37.774545873)
,04/27/2024 10:19:00 AM,24-020878,VEHICLE THEFT - AUTO,17X,1843 8TH AVE.,Oakland,CA,POINT (-122.247231017 37.796856001)
,05/19/2024 02:00:00 PM,24-024738,SC UNEXPLAINED DEATH,14X,157 MONTECITO AVE,Oakland,CA,POINT (-122.259482007 37.812086003)
VANDALISM,03/25/2024 05:00:00 PM,24-015068,VANDALISM (AMENDED),24Y,3105 HIGH ST,Oakland,CA,POINT (-122.200155986 37.785134999)
HOMICIDE,04/19/2024 09:02:00 AM,24-019290,SC UNEXPLAINED DEATH,27Y,1932 57TH AV,Oakland,CA,POINT (-122.197151995 37.769047989)
BURG - RESIDENTIAL,06/02/2024 06:00:00 PM,24-027426,BURGLARY-NO FORCE,77X,590 GRAVATT DR,Oakland,CA,POINT (-122.231589967 37.860143016)
,04/08/2024 12:47:00 AM,24-907074,VANDALISM,13Y,6533 PINEHAVEN ROAD,Oakland,CA,POINT (-122.208962593 37.845256086)
,04/24/2024 09:00:00 PM,24-906986,BURGLARY-AUTO,03Y,1150 CLAY ST,Oakland,CA,POINT (-122.27428998 37.803451008)
,05/12/2024 08:39:00 AM,24-023491,VEHICLE THEFT - AUTO,25X,4250 MAYBELLE AVE.,Oakland,CA,POINT (-122.188425009 37.793443016)
STOLEN VEHICLE,03/27/2024 08:00:00 PM,24-017452,VEHICLE THEFT - AUTO,22Y,563 WESTFIELD WY,Oakland,CA,POINT (-122.178969971 37.798499986)
,04/18/2024 12:25:00 PM,24-908182,THEFT,21Y,3265 COOLIDGE AVE,Oakland,CA,POINT (-122.211732986 37.795757008)
,05/05/2024 10:50:00 PM,24-022163,VANDALISM,12Y,5109 MANILA AV,Oakland,CA,POINT (-122.255431033 37.836161008)
DOMESTIC VIOLENCE,05/06/2024 08:09:00 AM,24-022227,INFLICT CRPL INJ SP/COHAB,07X,3238 LINDEN ST,Oakland,CA,POINT (-122.278566826 37.82384448)
,05/05/2024 05:00:00 PM,24-907190,BURGLARY-AUTO,,CLAY ST,Oakland,CA,POINT (-122.273336417 37.805686858)
ROBBERY,04/07/2024 12:30:00 PM,24-017065,CARJACKING WITH FIREARM,19X,2268 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.23638116 37.783775243)
,05/12/2024 07:30:00 AM,24-023350,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32X,1428 105TH AVE,Oakland,CA,POINT (-122.16568164 37.739710205)
THREATS,03/18/2024 06:03:00 PM,24-013715,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,06X,3810 WEST ST,Oakland,CA,POINT (-122.271295964 37.82785802)
,05/26/2024 11:00:00 PM,24-026025,BATTERY,25X,4860 MOUNTAIN BLVD,Oakland,CA,POINT (-122.177726013 37.788519989)
DOMESTIC VIOLENCE,03/31/2024 05:45:00 AM,24-015976,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,15X,633 ALMA AV,Oakland,CA,POINT (-122.238769989 37.804750999)
,04/05/2024 06:00:00 PM,24-016947,ATTEMPT VEHICLE THEFT-AUTO,35X,8431 DOWLING ST,Oakland,CA,POINT (-122.167391581 37.758978912)
,05/12/2024 06:30:00 PM,24-023679,CARJACKING WITH FIREARM,21Y,3239 LOGAN ST,Oakland,CA,POINT (-122.220155961 37.787163)
,04/05/2024 05:33:00 PM,24-016839,SC STOLEN VEHICLE - AUTO,20X,12TH ST&25TH AV,Oakland,CA,POINT (-122.234617007 37.781342984)
,04/06/2024 12:00:00 AM,24-016907,BURGLARY-FORCIBLE ENTRY,19X,1541 E 12TH ST,Oakland,CA,POINT (-122.246714021 37.787978015)
,04/20/2024 03:53:00 AM,24-019428,GRAND THEFT,08X,3026 RICHMOND BLVD,Oakland,CA,POINT (-122.259843015 37.81868101)
,04/07/2024 11:40:00 AM,24-907251,THEFT,31X,1 AIRPORT DRIVE,Oakland,CA,POINT (-122.211228983 37.717223017)
,05/27/2024 10:20:00 AM,24-026094,MFG/SALE/POSSESS/ETC METAL KNUCKLES,29X,IRO 3335 68TH AVE,Oakland,CA,POINT (-122.176050662 37.771560967)
,05/26/2024 04:15:00 PM,24-908649,BURGLARY-AUTO,31Y,191 98TH AVE,Oakland,CA,POINT (-122.193521961 37.729987985)
,06/05/2024 11:00:00 AM,24-027938,DISTURB THE PEACE,27Y,2010 57TH AV,Oakland,CA,POINT (-122.196478007 37.769005996)
,06/03/2024 06:30:00 PM,24-027543,THEFT,18Y,2130 21ST AV,Oakland,CA,POINT (-122.233294007 37.790603981)
STOLEN VEHICLE,03/22/2024 06:00:00 PM,24-014642,VEHICLE THEFT - AUTO,23X,3709 E 12TH ST,Oakland,CA,POINT (-122.221493964 37.773645002)
DOMESTIC VIOLENCE,03/20/2024 11:00:00 PM,24-014497,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT:W/SPEC PRIOR,35X,9407 MACARTHUR BLVD,Oakland,CA,POINT (-122.160426664 37.752787751)
PETTY THEFT,03/31/2024 04:30:00 PM,24-016157,THEFT,16Y,4500 PARK BLVD,Oakland,CA,POINT (-122.218517969 37.808572016)
FELONY ASSAULT,03/16/2024 12:00:00 AM,24-013630,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,04X,1950 FRANKLIN ST,Oakland,CA,POINT (-122.266877025 37.807722007)
STOLEN VEHICLE,05/29/2024 08:00:00 AM,24-026639,VEHICLE THEFT - AUTO,12Y,5399 JAMES AV,Oakland,CA,POINT (-122.252277293 37.840385877)
FELONY ASSAULT,04/07/2024 01:12:00 AM,24-017019,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,06X,800 30TH ST,Oakland,CA,POINT (-122.2736833 37.82012973)
,05/01/2024 12:35:00 PM,24-021421,GRAND THEFT:AUTO (AMENDED),31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.197289039 37.737543014)
STOLEN VEHICLE,05/10/2024 09:25:00 AM,24-023019,PROB VIOL: REAREST/REVOKE,33X,1242 95TH AV,Oakland,CA,POINT (-122.174419017 37.745116985)
OTHER,04/15/2024 05:19:00 PM,24-018530,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,10X,1000 62ND ST,Oakland,CA,POINT (-122.279839062 37.845679848)
,05/10/2024 08:30:00 AM,24-023103,VEHICLE THEFT - AUTO,07X,2511 ADELINE ST,Oakland,CA,POINT (-122.283480988 37.818257011)
,04/20/2024 07:00:00 AM,24-019487,VEHICLE THEFT - AUTO,19X,500 8TH ST,Oakland,CA,POINT (-122.275132957 37.800806465)
,03/18/2024 09:15:00 PM,24-906020,BURGLARY-AUTO,,49TH ST,Oakland,CA,POINT (-122.252940518 37.833537011)
,05/01/2024 09:40:00 AM,24-906997,BURGLARY-AUTO,08X,3001 BROADWAY,Oakland,CA,POINT (-122.262450039 37.819299008)
,05/09/2024 08:40:00 PM,24-022953,ROBBERY-FIREARM,01X,IRO 131 EMBARCADERO WEST,Oakland,CA,POINT (-122.271593176 37.793111261)
MISDEMEANOR ASSAULT,05/16/2024 05:40:00 PM,24-024176,BATTERY,13Z,1900 MOUNTAIN BLVD,Oakland,CA,POINT (-122.210643004 37.829135003)
FELONY ASSAULT,03/16/2024 03:00:00 AM,24-013308,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,31Y,600 HEGENBERGER RD,Oakland,CA,POINT (-122.195677032 37.74571801)
MISDEMEANOR ASSAULT,04/06/2024 11:15:00 PM,24-017008,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,31X,7000 COLISEUM WY,Oakland,CA,POINT (-122.201306989 37.751257987)
,05/13/2024 10:38:00 AM,24-023525,BATTERY W/SERIOUS BODILY INJURY,19X,700 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.252063308 37.794288108)
,05/09/2024 05:45:00 AM,24-022832,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,04/26/2024 12:00:00 PM,24-908459,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,17Y,1385 E 33RD ST,Oakland,CA,POINT (-122.231190988 37.800584984)
,05/06/2024 05:00:00 PM,24-022458,VEHICLE THEFT - AUTO,09X,3545 HARRISON ST,Oakland,CA,POINT (-122.253682987 37.820507008)
STOLEN VEHICLE,03/22/2024 12:58:00 PM,24-014470,VEHICLE THEFT - AUTO,26X,800 54TH AV,Oakland,CA,POINT (-122.210182957 37.763764402)
,05/14/2024 07:25:00 AM,24-023757,BURGLARY-FORCIBLE ENTRY,17X,1910 PARK BLVD,Oakland,CA,POINT (-122.249709965 37.799805006)
,04/15/2024 10:10:00 PM,24-906373,BURGLARY-AUTO,01X,308 JACKSON ST,Oakland,CA,POINT (-122.269411042 37.794623984)
VANDALISM,03/16/2024 11:45:00 AM,24-905149,VANDALISM,08X,2278 TELEGRAPH AV,Oakland,CA,POINT (-122.268757501 37.812477103)
STOLEN VEHICLE,03/28/2024 01:13:00 PM,24-004158,VEHICLE THEFT - AUTO,32Y,1400 101ST AVE,Oakland,CA,POINT (-122.168715726 37.742081666)
,04/23/2024 04:50:00 PM,24-908352,THEFT,31Y,10051 DOOLITTLE DRIVE,Oakland,CA,POINT (-122.198321019 37.723079998)
,04/19/2024 10:00:00 PM,24-019388,ROBBERY-FIREARM,19X,1400 BLK INTERNATIONAL BLVD,Oakland,CA,POINT (-122.245635241 37.789228304)
,03/20/2024 11:50:00 PM,24-905655,BURGLARY-AUTO,03Y,1015 CLAY ST,Oakland,CA,POINT (-122.275310979 37.80306498)
BURG - AUTO,05/15/2024 12:01:00 AM,24-024318,BURGLARY-AUTO,06X,3420 SAN PABLO AV,Oakland,CA,POINT (-122.277623966 37.825909982)
,05/20/2024 01:35:00 PM,24-024516,VEHICLE THEFT - AUTO,26X,4800 E12TH ST,Oakland,CA,POINT (-122.21126997 37.768833999)
,05/19/2024 11:30:00 PM,24-024640,MURDER,05Y,1638 14TH ST,Oakland,CA,POINT (-122.294775016 37.812022007)
PETTY THEFT,05/31/2024 10:00:00 AM,24-027194,THEFT,17Y,2316 12TH AV,Oakland,CA,POINT (-122.239168967 37.79665802)
,03/30/2024 06:15:00 PM,24-906423,VANDALISM,16X,1237 ASHMOUNT AVE,Oakland,CA,POINT (-122.224217999 37.814182987)
BURG - RESIDENTIAL,03/21/2024 12:00:00 PM,24-014799,BURGLARY-FORCIBLE ENTRY,13X,424 FLORENCE AV,Oakland,CA,POINT (-122.227044963 37.838548006)
